nombre,idobjeto,idunidad,idProcesoCompra,idCubs
CINTA AISLANTE,39300,39,1,10101501
CINTA PEGA DOBLE,33100,39,1,10101501
CINTA PESCANTE,36400,4,178,10101501
CINTAS DE PAPEL PH,35100,24,1,10101501
CISTOS/HUEVOS DE ARTEMIA,35100,3,1,10101501
CITRATO DE SODIO DIHIDRATADO,35100,29,1,10101501
CLAVOS DE ACERO,36930,4,1,10101501
CLAVOS DE HIERRO PARA MADERA,36930,4,58,10101501
CLIP BILLETERO,39200,4,1,10101501
CLIPS METÁLICOS 33MM CAJA 100 UNS,39200,24,3,10101501
CLIPS METÁLICOS 50 MM CAJA 100 UNS,39200,24,3,10101501
CLIPS METÁLICOS 50 MM CAJA 100 UNS,39200,24,3,10101501
CLORO,39100,26,1,10101501
CLOROFORMO,35100,29,1,10101501
CLORURO DE AMONIO,35100,29,1,10101501
CLORURO DE CALCIO,35210,9,179,10101501
CLORURO DE HIERRO III,35100,29,1,10101501
CLORURO DE SODIO,35100,29,1,10101501
CLORURO FERRICO,35100,29,1,10101501
CODOS DE PVC,35800,4,1,10101501
COFIAS PARA EL CABELLO,39530,24,1,10101501
COLADORES DE ACERO INOXIDABLE,39400,4,1,10101501
COMISIONES COMPRAS DE DIVISAS,25500,4,147,10101501
COMISIONES POR TRANSFERENCIAS INTERNACIONALES,25500,4,148,10101501
COMPONENTES IOT PARA CONTROL Y AUTOMATIZACIÓN,39600,4,1,10101501
COMPRESOR DE AIRE,42800,4,95,10101501
COMPUERTA LÓGICA AND SN74HC08N,39600,4,1,10101501
COMPUERTA LÓGICA NOR TEXAS CD4001,39600,4,1,10101501
COMPUERTA LÓGICA NOT INVERSORA,39600,4,1,10101501
COMPUERTA LÓGICA OR 74HC32N,39600,4,1,10101501
COMPUTADORA,42600,4,1,10101501
CONECTOR DE COMPRESION,39300,4,1,10101501
CONECTORES RJ45,39600,4,110,10101501
CONFECCION DE MANTEL DE TELA,32200,4,1,10101501
CONFITES,31110,21,122,10101501
CONGA,42720,4,1,10101501
CONO DE SEDIMENTACIÓN,39520,4,1,10101501
CONOS BARQUILLO,31110,33,1,10101501
CONOS DE ENTRENAMIENTO,39800,4,1,10101501
CONSOLA DE AUDIO,42510,4,125,10101501
CONSULTOR INTERNACIONAL CERTIFICACIÓN DE COMPETENCIAS,24720,4,1,10101501
CONSULTOR NACIONAL,24720,4,146,10101501
CONTRABAJO ELECTRICO,42720,4,1,10101501
CONTROL REMOTO INTELIGENTE WIFI CONEXION INFRAROJO UNIVERSAL,39600,4,103,10101501
CONTRUCCION DE EDIFICIOS Y LOCALES,41110,13,1,10101501
CONTRUCCION DE ESPACIOS USOS MULTIPLES,47110,4,151,10101501
CORDON PARA GAFETE,39200,4,3,10101501
CORTADORES/MOLDES DE GALLETAS,39400,40,1,10101501
CORTINAS,32200,40,1,10101501
CORTINERO,39600,4,174,10101501
CROMATO DE POTASIO,35100,29,1,10101501
CROMATOGRAFO,42430,4,1,10101501
CRONOMETRO DIGITAL CON PRECISION,39520,4,88,10101501
CUADERNO UNICO,39200,4,3,10101501
CUAJO LÍQUIDO,35210,9,1,10101501
CUARTO FRIO INDUSTRIAL,42220,4,86,10101501
CUBO DE IMPACTO,39600,4,174,10101501
CUBRE CÁMARAS,39520,4,1,10101501
CUBRE OBJETOS,39520,24,1,10101501
CUCHARA DESPACHADORA,39400,4,1,10101501
CUCHARAS DE ACERO INOXIDABLE,39400,4,1,10101501
CUCHARONES DE ACERO INOXIDABLE,39400,4,1,10101501
CUCHILLOS DE ACERO INOXIDABLE,39400,4,1,10101501
CUERDA PARA GUITARRA,39600,4,135,10101501
CULTIVO LACTICO MESOFILO,35100,4,37,10101501
CULTIVO LACTICO TERMOFILO,35100,4,37,10101501
CURITAS,39530,24,1,10101501
DE1-SOC. TARJETA DE DESARROLLO,39600,4,6,10101501
DE10-LITE. TARJETA DE DESARROLLO,39600,4,6,10101501
DEMO STAND PORTATIL,33300,4,71,10101501
DENITROFENILHIDRAZINA,35251,29,1,10101501
DENSIMETRO,39520,4,37,10101501
DESCREMADORA,42230,4,170,10101501
DESECADOR PARA LABORATORIO,39520,4,1,10101501
DESINFECTANTE AMBIENTAL,39100,9,28,10101501
DESINFECTANTE DE MANOS,35100,9,1,10101501
DESINFECTANTE EN AEROSOL,35100,23,1,10101501
DESINFECTANTE PARA PISO,39100,9,1,10101501
DESPULPADORA,42220,4,1,10101501
DESTORNILLADOR,36400,4,1,10101501
DESVASTADOR DE PERFILES,42260,4,1,10101501
DETECTOR DE BILLETES FALSOS,42120,4,1,10101501
DETERGENTE,39100,21,1,10101501
DICLORIDRATO DE NAFITILETILEDIAMINA,35100,29,1,10101501
DICROMATO DE POTASIO,35100,29,1,10101501
DILUYENTE,35500,9,69,10101501
DINITROFENILHIDRAZINA,35251,29,1,10101501
DIODOS ZENER,39600,4,1,10101501
DISCO ABRASIVO CORTE METAL,36930,4,162,27112838
DISCO EXTERNO,42600,4,1,10101501
DISCO SECCHI,39520,4,88,10101501
DISCOS DE ENTRENAMIENTO,39800,4,1,10101501
DISCOS DE ESTADO SÓLIDO,39600,4,6,10101501
DISCOS DE SENCIBILIDAD ANTIBIOGRAMA,35251,29,1,10101501
DISCOS DE SENCIBILIDAD PARA ANTIBIOGRAMAS,35251,4,1,10101501
DISCOS DUROS,39600,4,6,10101501
DISPENSADOR DE BEBIDAS (DE VIDRIO),39400,4,121,10101501
DISPENSADOR DE PAPEL,35800,4,1,10101501
DISPENSADOR DE TAPE,39200,4,1,10101501
DISPENSADOR PARA FRASCOS DE REACTIVOS,39520,4,1,10101501
DOSIFICADORA / ENVASADORA DE LIQUIDOS VISCOSOS,42230,4,170,10101501
ELECTRODO,36100,4,160,10101501
EMBUDO DE VIDRIO,39520,4,1,10101501
Empleado administrativo permanente,11100,4,3,10101501
